rank,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,price_usd,volume_24h_usd,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap_usd,market_cap_dominance,fully_diluted_market_cap
1,1,Bitcoin,BTC,bitcoin,12492,2010-07-13T00:00:00.000Z,21000000,19958971,19958971,1,2025-12-07T21:39:00.000Z,90793.17464272422,43682190191.80143,12.4023,-0.66399521,1.4583171,-0.35988676,-12.1980396,-26.37540308,-19.09386909,1812138339692.068,58.5301,1906656667497.21
2,1027,Ethereum,ETH,ethereum,11236,2015-08-07T00:00:00.000Z,,120695407.9396871,120695407.9396871,2,2025-12-07T21:39:00.000Z,3122.3636096677337,18167408933.966457,62.7629,-0.54893516,2.63623812,3.33501572,-9.81793624,-31.01952314,-27.57541812,376854949604.88104,12.172,376854949604.88
3,825,Tether USDt,USDT,tether,160938,2015-02-25T00:00:00.000Z,,185632100913.85397,187859713286.13254,3,2025-12-07T21:38:00.000Z,1.0001361117043532,66782133499.57802,22.917,-0.01560289,-0.02049936,-0.01793367,0.05146239,-0.01893832,0.01541143,185657367615.49203,5.9965,187885283191.89
4,52,XRP,XRP,xrp,1764,2013-08-04T00:00:00.000Z,100000000000,60331635327,99985752852,4,2025-12-07T21:39:00.000Z,2.067866699121524,2550640978.908706,47.4706,-1.06869574,1.68639618,-5.5380215,-11.80180091,-28.72694553,-30.4486066,124757779596.24702,4.0295,206786669912.15
5,1839,BNB,BNB,bnb,2997,2017-07-25T00:00:00.000Z,137735892.77,137735892.77,137735892.77,5,2025-12-07T21:39:00.000Z,902.0533922676625,1688954023.8851259,18.9811,-0.19936708,0.86001028,1.54595842,-8.92913957,-31.11264965,2.38929972,124245129310.19351,4.013,124245129310.19
6,3408,USDC,USDC,usd-coin,35184,2018-10-08T00:00:00.000Z,,78134167494.17853,78134167494.17853,6,2025-12-07T21:38:00.000Z,0.9999737719760456,6677743238.802044,30.993,-0.01084147,-0.00738103,-0.01706216,0.02454475,0.00200347,0.00885696,78132118189.36183,2.5236,78132118189.36
7,5426,Solana,SOL,solana,1057,2020-04-10T00:00:00.000Z,,560631693.297633,615623394.6724715,7,2025-12-07T21:39:00.000Z,134.98555788974986,3443116867.170374,67.7235,-0.69153045,1.91882028,-1.54184668,-17.35629468,-41.05048858,-37.35358439,75677181890.45613,2.4443,83100267379.85
8,1958,TRON,TRX,tron,1264,2017-09-13T00:00:00.000Z,,94681181024.14088,94681174764.90268,8,2025-12-07T21:39:00.000Z,0.2873788147742023,493794034.6184337,-3.2862,-0.03076033,0.05671188,1.88799118,-1.85650702,-15.96687557,-13.26585946,27209365584.1393,0.8788,27209363785.37
9,74,Dogecoin,DOGE,dogecoin,1354,2013-12-15T00:00:00.000Z,,161606732798.57907,161606732798.57907,9,2025-12-07T21:39:00.000Z,0.14111266721422755,937197889.4559561,41.7559,-0.66031463,0.8074879,-5.0823324,-21.97994681,-45.33466904,-41.70928166,22804757104.98448,0.7366,22804757104.98
10,2010,Cardano,ADA,cardano,1629,2017-10-01T00:00:00.000Z,45000000000,35902711180.54704,44994867868.16472,10,2025-12-07T21:36:00.000Z,0.42772992291641115,562037655.3296565,69.9906,-0.86143122,3.16344365,0.96232153,-26.80011037,-49.05955013,-50.55531408,15356663885.74556,0.4964,19247846531.24
11,1831,Bitcoin Cash,BCH,bitcoin-cash,1101,2017-07-23T00:00:00.000Z,21000000,19963696.875,19963696.875,11,2025-12-07T21:39:00.000Z,594.8246481058791,360446209.3772383,-4.7573,-0.05289172,1.15311877,7.82717886,15.01767596,2.03410833,1.15782284,11874898968.564312,0.3835,12491317610.22
12,32196,Hyperliquid,HYPE,hyperliquid,208,2024-07-15T10:14:50.000Z,999533278,336685219,999533278,12,2025-12-07T21:39:00.000Z,29.559269041001738,315843831.05371225,122.2764,-0.80641287,-5.19406003,-11.08036172,-30.69110507,-36.32126319,-41.55115223,9952168970.54959,0.3214,29545473079.84
